id,phoneNo,location,occupation,certification,age,gender,type,availabilityPreference,availability,minimumWage,experience,clientsAttended,aadharCard,doorstepService ,references,liscenced,shoppingliscence
1,8414879402,Bavdhan,Accountant,FALSE,19,Male,Part Time,Evening,Evening,9000,9,47,123122156992,no,TRUE,FALSE,TRUE
2,7308746360,Khadakwasla,Brick mason,FALSE,32,Male,Part Time,Morning,Morning,1000,2,9,375736595403,no,FALSE,FALSE,TRUE
3,9212806955,Kondhwa,Carpenter,FALSE,37,Male,Full Time,Evening,Whole Day,4000,4,36,613463462936,yes,TRUE,TRUE,FALSE
4,9596200180,Mundhwa,Cashier,FALSE,21,Female,Part Time,Morning,Morning,7000,7,40,825582699508,no,FALSE,TRUE,FALSE
5,9069232023,Katraj,Childcare Worker,TRUE,37,Female,Part Time,Evening,Evening,3000,1,11,498585940644,yes,TRUE,TRUE,TRUE
6,7435038554,Gultekdi,Cook,TRUE,30,Male,Full Time,Morning,Whole Day,6500,7,43,49530400719,yes,TRUE,FALSE,TRUE
7,9521362847,Singhgad Road,Driver,TRUE,28,Male,Full Time,Evening,Whole Day,8000,7,43,583187732893,yes,TRUE,TRUE,FALSE
8,7817805073,Hinjewadi,Electrician,FALSE,35,Male,Part Time,Morning,Morning,6000,7,41,372648131590,yes,FALSE,FALSE,FALSE
9,9836658744,Ambegaon,Hairdresser,TRUE,19,Female,Part Time,Morning,Morning,1500,1,14,570971448273,no,FALSE,FALSE,FALSE
10,9066152131,Koregaon Park,Janitor,FALSE,40,Male,Part Time,Afternoon,Afternoon,7500,8,56,204690088620,no,TRUE,FALSE,FALSE
11,9507298308,Balewadi,Maid,FALSE,24,Female,Part Time,Evening,Evening,8000,6,57,653473853060,yes,TRUE,TRUE,FALSE
12,9453552219,Paud Road,Mehndi Artist,TRUE,23,Female,Full Time,Morning,Whole Day,9000,10,43,938952343957,no,FALSE,TRUE,TRUE
13,9088038408,Dhankawadi,Painter,TRUE,20,Male,Part Time,Morning,Morning,5500,9,41,49868028734,no,TRUE,TRUE,TRUE
14,9236099421,Balewadi,Plumber,TRUE,22,Male,Full Time,Evening,Whole Day,3000,2,8,246688126955,yes,TRUE,TRUE,FALSE
15,9002417386,Ganeshkhind,Receptionist,TRUE,38,Male,Part Time,Afternoon,Afternoon,9500,10,60,272035728012,no,TRUE,FALSE,FALSE
16,9217594264,Fatimanagar,Security Guard,FALSE,30,Male,Part Time,Afternoon,Afternoon,6000,9,55,348362584370,yes,TRUE,TRUE,FALSE
17,7772147688,Vishrantwadi,Tailor,FALSE,37,Male,Full Time,Morning,Whole Day,1000,3,39,947467912849,no,FALSE,FALSE,TRUE
18,9532238399,Khadakwasla,Waiter,FALSE,39,Male,Full Time,Evening,Whole Day,6000,8,51,362699423635,no,TRUE,FALSE,TRUE
19,9043394945,Fatimanagar,Waitress,TRUE,39,Female,Part Time,Morning,Morning,4000,4,40,384393937825,no,TRUE,FALSE,TRUE
20,9852298095,Salisbury Park,Worker,TRUE,19,Male,Full Time,Morning,Whole Day,4000,3,29,945147026363,yes,FALSE,FALSE,FALSE
21,7615089399,Pashan,Salesperson,FALSE,20,Male,Part Time,Morning,Morning,2500,5,39,58469388697,no,FALSE,TRUE,FALSE
22,8872572968,Shivajinagar,Delivery Boy,TRUE,19,Male,Part Time,Afternoon,Afternoon,6000,10,52,392998464092,yes,FALSE,FALSE,FALSE
23,9294067444,Hadapsar,Mechanic,TRUE,23,Male,Part Time,Evening,Evening,7000,9,59,139217992712,yes,FALSE,FALSE,FALSE
24,9513381093,Pashan,Accountant,TRUE,18,Male,Full Time,Morning,Whole Day,9000,10,49,972606979380,no,FALSE,FALSE,FALSE
25,8647239330,Swargate,Brick mason,TRUE,36,Male,Part Time,Afternoon,Afternoon,5500,8,60,472240237174,no,TRUE,TRUE,TRUE
26,7100715813,Shivajinagar,Carpenter,TRUE,19,Male,Full Time,Morning,Whole Day,1500,2,16,410450622058,yes,TRUE,FALSE,TRUE
27,9187326623,Ghorpadi,Cashier,FALSE,38,Male,Full Time,Afternoon,Whole Day,2500,4,37,86677416443,no,FALSE,TRUE,FALSE
28,9549537534,Singhgad Road,Childcare Worker,TRUE,38,Female,Full Time,Afternoon,Whole Day,10000,7,42,501986290282,yes,FALSE,TRUE,FALSE
29,9632925441,Bibewadi,Cook,TRUE,18,Male,Part Time,Afternoon,Afternoon,8500,7,45,557346314838,yes,FALSE,FALSE,TRUE
30,7489124907,Bavdhan,Driver,TRUE,19,Male,Full Time,Evening,Whole Day,8500,10,50,714492095364,yes,FALSE,TRUE,FALSE
31,7483689084,Sahakarnagar,Electrician,TRUE,28,Male,Part Time,Morning,Morning,1000,2,5,724066622319,yes,TRUE,FALSE,TRUE
32,9882336734,Mundhwa,Hairdresser,FALSE,38,Female,Full Time,Morning,Whole Day,8500,7,43,844355201297,no,FALSE,FALSE,FALSE
33,7446174644,Dhayari,Janitor,TRUE,34,Male,Part Time,Evening,Evening,8000,7,51,238310886086,no,FALSE,TRUE,TRUE
34,8035527548,Dhayari,Maid,FALSE,22,Female,Full Time,Evening,Whole Day,4500,2,17,201507913781,yes,TRUE,FALSE,TRUE
35,9281109849,Mundhwa,Mehndi Artist,TRUE,35,Female,Part Time,Afternoon,Afternoon,9000,10,45,199255943805,no,FALSE,FALSE,TRUE
36,8033028617,Dhankawadi,Painter,FALSE,19,Male,Part Time,Afternoon,Afternoon,7000,10,55,890708623271,no,FALSE,FALSE,TRUE
37,8982748339,Kharadi,Plumber,FALSE,32,Male,Part Time,Evening,Evening,5500,8,40,776312129057,yes,FALSE,TRUE,TRUE
38,8137647556,Ambegaon,Receptionist,TRUE,19,Male,Part Time,Evening,Evening,7000,9,42,490045648736,no,TRUE,TRUE,TRUE
39,9196478553,Singhgad Road,Security Guard,FALSE,26,Male,Full Time,Evening,Whole Day,2500,1,20,642190761816,yes,FALSE,FALSE,TRUE
40,9186747220,Dhankawadi,Tailor,TRUE,28,Male,Part Time,Evening,Evening,6500,7,59,555423311640,no,FALSE,FALSE,TRUE
41,7274331832,Hinjewadi,Waiter,TRUE,40,Male,Full Time,Afternoon,Whole Day,9500,10,52,474437108053,no,TRUE,FALSE,TRUE
42,7915579592,Chinchwad,Waitress,TRUE,32,Female,Full Time,Afternoon,Whole Day,9500,8,41,856290597946,no,FALSE,FALSE,TRUE
43,8948482642,Pashan,Worker,FALSE,30,Male,Full Time,Evening,Whole Day,9000,7,58,846165138793,yes,FALSE,TRUE,FALSE
44,7324311586,Khadki,Salesperson,TRUE,19,Male,Part Time,Morning,Morning,9000,8,59,226042648195,no,TRUE,FALSE,TRUE
45,7983105026,Wanowrie,Delivery Boy,TRUE,33,Male,Full Time,Evening,Whole Day,3000,1,6,525682523645,yes,TRUE,TRUE,FALSE
46,9803935702,Koregaon Park,Mechanic,FALSE,20,Male,Full Time,Evening,Whole Day,3500,5,29,74942764794,yes,FALSE,TRUE,TRUE
47,7513952250,Vitthalwadi,Accountant,TRUE,22,Male,Part Time,Evening,Evening,8500,7,60,449219964767,no,FALSE,FALSE,FALSE
48,7998902502,Swargate,Brick mason,TRUE,25,Male,Full Time,Afternoon,Whole Day,1000,5,27,937681358042,no,TRUE,TRUE,TRUE
49,7058397604,Hadapsar,Carpenter,TRUE,26,Male,Part Time,Morning,Morning,5000,10,43,785890322409,yes,TRUE,TRUE,FALSE
50,9364896993,Hinjewadi,Cashier,FALSE,19,Male,Part Time,Morning,Morning,5000,10,54,55931928754,no,FALSE,FALSE,FALSE
51,7048452926,Koregaon Park,Childcare Worker,FALSE,32,Female,Part Time,Morning,Morning,7000,8,49,825061133084,yes,FALSE,TRUE,FALSE
52,9023906958,Bibewadi,Cook,FALSE,25,Male,Part Time,Evening,Evening,10000,9,45,793369308006,yes,FALSE,FALSE,FALSE
53,7384234960,Vitthalwadi,Driver,FALSE,34,Male,Part Time,Evening,Evening,4500,2,16,935964333547,yes,FALSE,TRUE,FALSE
54,8723134747,Bibewadi,Electrician,TRUE,29,Male,Full Time,Evening,Whole Day,3000,5,33,673467603999,yes,FALSE,FALSE,TRUE
55,9193938930,Dhayari,Hairdresser,TRUE,30,Female,Part Time,Afternoon,Afternoon,4500,5,31,216447769846,no,FALSE,FALSE,TRUE
