Serial number,Phone number,Location,Occupation,Qualified,Age,Type,Clients Attended,Minimum wage,Aadhar Card,Gender,Doorstep Service,Morning Available,Afternoon Available,Evening Available,References
1,7387135330,Aundh,Painter,No,27,Full time,8,6500,2928-0100-2908,Male,,Yes,Yes,Yes,
2,9411704101,Pashan,Cashier,No,26,Part time,5,5000,4676-7076-6790,Female,,Yes,Yes,No,
3,9577807763,Chinchwad,Tailor,Yes,24,Part time,3,4500,1149-2297-3182,Female,No,No,Yes,Yes,
4,8046615548,Mundhwa,Waitress,No,28,Part time,5,3500,6031-8263-8038,Female,,Yes,Yes,No,
5,9617729727,Saswad,Tailor,Yes,27,Full time,12,4000,3463-0567-2922,Male,No,Yes,Yes,Yes,
6,7008764809,Nigdi,Accountant,No,34,Part time,4,7000,1851-8827-1217,Female,,Yes,Yes,No,
7,9109307539,Dhayari,Mehndi Artist,No,22,Part time,9,4500,7092-4263-0930,Female,No,Yes,No,No,
8,9422674920,Balewadi,Salesperson,No,20,Part time,14,4500,3578-2888-3782,Female,,Yes,Yes,Yes,
9,8215619343,Baner,Tailor,Yes,31,Full time,2,6000,7648-9333-0893,Female,Yes,Yes,Yes,No,
10,9140530301,Vishrantwadi,Receptionist,No,32,Part time,9,4500,8383-8174-7799,Male,,Yes,Yes,No,
11,9084798992,Ghorpadi,Delivery Boy,No,19,Full time,9,5500,5940-0156-0258,Male,,Yes,Yes,Yes,
12,7632546204,Bavdhan,Receptionist,No,31,Part time,8,3000,0227-9022-2529,Male,,No,Yes,Yes,
13,9993635874,Hinjewadi,Mechanic,No,34,Full time,10,2000,8720-6522-8095,Male,,Yes,Yes,Yes,
14,8900841017,Dhayari,Electrician,Yes,23,Full time,13,5500,7508-7235-2537,Male,,Yes,Yes,Yes,
15,9666092769,Vishrantwadi,Janitor,Yes,32,Part time,9,5500,7916-1828-8594,Male,,Yes,Yes,No,
16,8852117479,Katraj,Electrician,Yes,27,Full time,6,1000,8897-9093-5092,Male,,Yes,Yes,Yes,
17,9646451445,Fursungi,Driver,No,33,Part time,12,5000,5650-5609-4481,Male,,Yes,No,No,
18,8891874804,Khadki,Cashier,No,30,Part time,2,2500,5931-1330-8087,Female,,Yes,Yes,No,
19,9705612255,Ganeshkhind,Mechanic,No,30,Full time,10,3500,7340-2595-8099,Male,,Yes,Yes,Yes,
20,8157833524,Hinjewadi,Plumber,No,29,Part time,7,7000,6561-2334-0322,Male,,No,Yes,Yes,
