id,phoneNo,location,occupation,certification,age,gender,type,availabilityPreference,availability,minimumWage,experience,clientsAttended,aadharCard,doorstepService ,references,liscenced,shoppingliscence
1,9368200057,Paud Road,Receptionist,false,34,Male,Part Time,Evening,Evening,10000,7,44,653206487447,no,true,false,false
2,9178997593,Salisbury Park,Hairdresser,true,28,Female,Part Time,Morning,Morning,8000,7,40,835269407288,no,false,false,false
3,9864003782,Dhankawadi,Delivery Boy,false,18,Male,Full Time,Afternoon,Whole Day,5000,6,58,819095040135,yes,true,false,false
4,9731637091,Dattawadi,Cook,true,26,Male,Part Time,Morning,Morning,2000,1,10,432025760573,yes,false,false,true
5,9647491595,Vitthalwadi,Waitress,false,24,Female,Full Time,Morning,Whole Day,7000,8,51,668146085016,no,true,false,false
6,7891875172,Wagholi,Cashier,false,35,Female,Full Time,Afternoon,Whole Day,8500,9,49,916944264307,no,false,false,true
7,9485273873,Chinchwad,Hairdresser,true,40,Female,Part Time,Afternoon,Afternoon,6000,10,59,061377929903,no,false,false,false
8,7061276107,Hinjewadi,Salesperson,true,31,Female,Full Time,Morning,Whole Day,5000,9,50,451909901342,no,false,false,false
9,7866850029,Kondhwa,Waitress,false,31,Female,Part Time,Evening,Evening,9000,6,46,016022175094,no,false,false,true
10,8439060504,Fatimanagar,Janitor,true,28,Male,Full Time,Morning,Whole Day,3000,5,30,362368236880,no,false,false,true
11,8916747190,Camp,Carpenter,false,21,Male,Full Time,Evening,Whole Day,9500,9,59,801723692125,yes,true,false,true
12,7208372459,Wagholi,Delivery Boy,true,29,Male,Part Time,Afternoon,Afternoon,6000,7,56,591700017355,yes,false,false,false
13,9543011044,Wagholi,Cook,true,20,Male,Part Time,Evening,Evening,5500,8,59,039387901336,yes,true,false,true
14,8626277135,Vishrantwadi,Brick mason,false,31,Male,Part Time,Afternoon,Afternoon,5500,8,47,807902521177,no,true,false,true
15,9183276417,Fursungi,Electrician,true,20,Male,Part Time,Evening,Evening,4000,5,35,002994142118,yes,true,false,true
16,9959471348,Baner,Maid,false,28,Female,Full Time,Evening,Whole Day,5500,9,43,394731861691,yes,false,false,false
17,8569376222,Ganeshkhind,Brick mason,true,34,Male,Part Time,Afternoon,Afternoon,8500,7,42,210328216936,no,false,false,false
18,9525872639,Camp,Janitor,true,29,Male,Full Time,Morning,Whole Day,4000,3,22,273685293803,no,false,false,true
19,7550663139,Wanowrie,Carpenter,true,32,Male,Full Time,Morning,Whole Day,6500,10,57,485748572752,yes,false,false,false
20,8744980220,Mundhwa,Painter,false,39,Male,Full Time,Afternoon,Whole Day,7000,10,47,111017740253,no,false,false,true
21,9299487217,Balewadi,Hairdresser,false,26,Female,Full Time,Evening,Whole Day,8000,8,45,230237025375,no,false,false,true
22,9463813512,Wagholi,Cook,false,27,Male,Part Time,Evening,Evening,10000,6,55,106177764954,yes,true,false,false
23,7135602391,Bavdhan,Maid,false,24,Female,Part Time,Morning,Morning,9000,9,57,513425971776,yes,true,false,false
24,7778435568,Kothrud,Tailor,true,28,Male,Full Time,Evening,Whole Day,3000,2,12,856922212268,no,true,false,false
25,8719075663,Fatimanagar,Receptionist,true,21,Male,Full Time,Afternoon,Whole Day,6500,6,52,437866102605,no,false,false,false
26,7179928185,Gultekdi,Hairdresser,true,38,Female,Full Time,Morning,Whole Day,5000,9,49,264135787668,no,true,false,true
27,9325137235,Hadapsar,Cook,false,39,Male,Full Time,Afternoon,Whole Day,7500,8,46,618364088435,yes,true,false,true
28,8290431550,Nigdi,Waiter,true,19,Male,Full Time,Evening,Whole Day,3500,1,17,201120218308,no,false,false,false
29,9987927588,Swargate,Waitress,true,38,Female,Part Time,Afternoon,Afternoon,10000,7,60,587961164141,no,true,false,true
30,9240165262,Dhole Patil Road,Waitress,false,23,Female,Full Time,Morning,Whole Day,7500,7,49,851903624872,no,false,false,false
31,7912829691,Pimplesaudagar,Cashier,true,20,Male,Part Time,Evening,Evening,6000,10,58,538059984714,no,false,false,false
32,7892043132,Fursungi,Electrician,true,18,Male,Part Time,Evening,Evening,6500,9,58,527022658413,yes,false,false,true
33,9856342068,Saswad,Driver,true,38,Male,Part Time,Afternoon,Afternoon,2000,2,5,630543372127,yes,false,false,false
34,8642970234,Katraj,Maid,true,23,Female,Part Time,Evening,Evening,7000,9,49,378124451954,yes,true,false,true
35,7738508480,Ganeshkhind,Cashier,false,38,Male,Full Time,Afternoon,Whole Day,3000,1,11,768005324872,no,false,false,false
36,9653430631,Fursungi,Salesperson,true,28,Male,Full Time,Afternoon,Whole Day,2500,4,26,930338277671,no,false,false,true
37,9742901187,Dhole Patil Road,Waitress,false,23,Female,Part Time,Evening,Evening,2000,2,16,756317083742,no,true,false,true
38,8169424812,Bavdhan,Plumber,false,32,Male,Part Time,Morning,Morning,6500,7,55,309641154077,yes,false,false,true
39,9091349349,Dattawadi,Plumber,false,25,Male,Full Time,Afternoon,Whole Day,8500,6,42,921952871415,yes,false,false,true
40,8481001525,Sahakarnagar,Tailor,true,36,Male,Full Time,Evening,Whole Day,8000,8,49,948404357018,no,true,false,false
41,9631774936,Nigdi,Electrician,false,34,Male,Full Time,Afternoon,Whole Day,5500,6,43,176969891759,yes,true,false,true
42,7430272356,Wanowrie,Childcare Worker,false,20,Female,Full Time,Afternoon,Whole Day,3000,5,26,560129056942,yes,true,false,true
43,9847185473,Dhankawadi,Waitress,false,40,Female,Full Time,Afternoon,Whole Day,10000,10,57,561953636245,no,false,false,false
44,9184469625,Kondhwa,Brick mason,true,38,Male,Full Time,Evening,Whole Day,4500,5,26,460955380570,no,true,false,true
45,9351532862,Hadapsar,Carpenter,true,18,Male,Full Time,Evening,Whole Day,8000,6,56,310066234798,yes,false,false,false
46,8753800463,Dhole Patil Road,Security Guard,false,25,Male,Full Time,Evening,Whole Day,4500,5,23,131719205537,yes,true,false,true
47,9051770264,Hadapsar,Painter,false,39,Male,Part Time,Afternoon,Afternoon,5500,10,50,988975332153,no,false,false,true
48,8892346912,Dhole Patil Road,Mehndi Artist,true,33,Female,Part Time,Evening,Evening,2500,2,17,793339774942,no,false,false,true
49,9838466515,Nigdi,Brick mason,false,30,Male,Full Time,Evening,Whole Day,5500,10,44,883812485242,no,true,false,false
50,9697432506,Fatimanagar,Cashier,true,38,Female,Part Time,Evening,Evening,8000,9,54,282317353842,no,false,false,false
51,7003600263,Kondhwa,Brick mason,false,19,Male,Full Time,Morning,Whole Day,3000,2,20,040925204589,no,true,false,false
52,9118014505,Chinchwad,Salesperson,true,35,Male,Part Time,Afternoon,Afternoon,3500,3,22,401290731540,no,true,false,true
53,7404449949,Swargate,Hairdresser,true,26,Female,Part Time,Evening,Evening,6000,8,46,866344016716,no,false,false,false
54,8281382821,Kondhwa,Waiter,true,22,Male,Full Time,Evening,Whole Day,2500,3,36,095848921815,no,true,false,false
55,7951192535,Gultekdi,Driver,false,26,Male,Part Time,Evening,Evening,7500,7,54,710263293357,yes,true,false,true
56,7859923420,Deccan,Worker,true,29,Male,Part Time,Afternoon,Afternoon,8500,10,55,001708272372,yes,false,false,true
57,7460357207,Pashan,Receptionist,true,18,Male,Full Time,Evening,Whole Day,7500,9,49,987812535467,no,true,false,true
58,9504698605,Pimplesaudagar,Receptionist,true,21,Male,Part Time,Morning,Morning,4000,4,33,203669664139,no,false,false,false
59,9242081862,Erandwane,Carpenter,true,23,Male,Full Time,Evening,Whole Day,8000,9,44,228955409007,yes,true,false,false
60,7044892516,Deccan,Tailor,false,37,Male,Part Time,Evening,Evening,3000,5,29,575070491683,no,true,false,true
61,9983886724,Katraj,Worker,true,37,Male,Full Time,Afternoon,Whole Day,3000,1,5,282280464099,yes,true,false,false
62,9739317344,Bavdhan,Waiter,false,25,Male,Full Time,Morning,Whole Day,5000,8,60,572245411734,no,true,false,true
63,7734396444,Salisbury Park,Maid,true,38,Female,Full Time,Afternoon,Whole Day,2000,4,25,940364335586,yes,true,false,true
64,7475803397,Wagholi,Carpenter,true,19,Male,Part Time,Morning,Morning,5000,10,43,426216253035,yes,true,false,false
65,9751085201,Parvati,Brick mason,false,30,Male,Part Time,Evening,Evening,8000,10,48,377390432904,no,true,false,false
66,7035095391,Swargate,Maid,true,26,Female,Part Time,Evening,Evening,9000,10,51,681547283522,yes,false,false,true
67,9494737224,Fatimanagar,Brick mason,true,36,Male,Full Time,Morning,Whole Day,4000,5,20,178140637774,no,true,false,true
68,9267387090,Dhankawadi,Brick mason,true,38,Male,Full Time,Afternoon,Whole Day,7500,7,43,320118862277,no,true,false,true
69,9184082486,Vishrantwadi,Delivery Boy,true,33,Male,Part Time,Morning,Morning,4500,5,21,366000103017,yes,false,false,false
70,9384402190,Dhole Patil Road,Maid,true,29,Female,Full Time,Evening,Whole Day,7000,6,54,423324897375,yes,false,false,false
71,8470188516,Gultekdi,Worker,true,34,Male,Full Time,Morning,Whole Day,3500,3,25,376724808587,yes,false,false,false
72,9743257483,Dhole Patil Road,Mechanic,false,25,Male,Part Time,Morning,Morning,6000,7,48,196060301574,yes,true,false,false
73,7895198225,Hadapsar,Plumber,false,39,Male,Full Time,Afternoon,Whole Day,3500,4,34,834974183119,yes,false,false,false
74,7289153130,Dattawadi,Accountant,true,25,Male,Full Time,Afternoon,Whole Day,8500,8,54,877767686494,no,true,false,false
75,7932549471,Singhgad Road,Hairdresser,false,26,Female,Part Time,Morning,Morning,6500,8,45,481886869376,no,true,false,true
76,9517637390,Salisbury Park,Janitor,false,28,Male,Part Time,Afternoon,Afternoon,4000,3,20,717760674995,no,false,false,true
77,9863502605,Fatimanagar,Security Guard,true,25,Male,Part Time,Morning,Morning,9500,7,42,129902375258,yes,true,false,false
78,9382585424,Saswad,Plumber,false,35,Male,Part Time,Morning,Morning,9000,7,60,031219040330,yes,false,false,false
79,9889886075,Swargate,Tailor,false,29,Male,Part Time,Morning,Morning,6000,8,46,012766950946,no,true,false,false
80,9854851202,Singhgad Road,Janitor,true,26,Male,Full Time,Afternoon,Whole Day,8000,10,50,806688866042,no,true,false,true
81,7674417543,Saswad,Cook,false,20,Male,Part Time,Afternoon,Afternoon,8000,8,44,713470402048,yes,false,false,false
82,8827022999,Singhgad Road,Electrician,false,35,Male,Part Time,Evening,Evening,4500,3,27,598653968489,yes,true,false,true
